Date,aapl,binned_returns
2020-01-03,-0.009769700561115218,8
2020-01-06,0.007936366574564034,11
2020-01-07,-0.0047138972274685335,9
2020-01-08,0.015958294809770842,12
2020-01-09,0.021018054512677457,13
2020-01-10,0.002258204674325576,10
2020-01-13,0.021139479543295366,13
2020-01-14,-0.013595315893714705,7
2020-01-15,-0.0042948462285626625,9
2020-01-16,0.012448740817541062,12
2020-01-17,0.011010461334147202,11
2020-01-21,-0.006800023094581838,8
2020-01-22,0.0035626261366302992,10
2020-01-23,0.004804747809760174,10
2020-01-24,-0.0028861230301838,9
2020-01-27,-0.02984643451250334,4
2020-01-28,0.02789673181821676,15
2020-01-29,0.020716220199942126,13
2020-01-30,-0.0014500128031771685,9
2020-01-31,-0.045351953697719334,1
2020-02-03,-0.0027496967293789134,9
2020-02-04,0.03248040482486676,15
2020-02-05,0.00812116878469755,11
2020-02-06,0.01162900712840328,12
2020-02-07,-0.013685985054844932,7
2020-02-10,0.004738192302071084,10
2020-02-11,-0.00605143688270503,8
2020-02-12,0.023470168638640272,14
2020-02-13,-0.007146429611298976,8
2020-02-14,0.00024580934297755797,10
2020-02-18,-0.018480258429616793,6
2020-02-19,0.01437924236498839,12
2020-02-20,-0.010312185716360701,8
2020-02-21,-0.022894974902943416,5
2020-02-24,-0.04866566722023556,1
2020-02-25,-0.03445909703767521,3
2020-02-26,0.0157391982147079,12
2020-02-27,-0.06760279436381803,0
2020-02-28,-0.0005850746257481607,9
2020-03-02,0.08901841861407694,19
2020-03-03,-0.032274761022083986,4
2020-03-04,0.045340960946907226,18
2020-03-05,-0.032974268724230114,4
2020-03-06,-0.013369573107596944,7
2020-03-09,-0.08239519446731695,0
2020-03-10,0.06954663937835678,19
2020-03-11,-0.03534801426115702,3
2020-03-12,-0.10397790396989161,0
2020-03-13,0.1131574464392382,19
2020-03-16,-0.13770817140097893,0
2020-03-17,0.0430308229167322,17
2020-03-18,-0.02478456822310902,5
2020-03-19,-0.007691341270432202,8
2020-03-20,-0.06559023629547135,0
2020-03-23,-0.021473434104638128,6
2020-03-24,0.09560618373596455,19
2020-03-25,-0.00552395640176811,9
2020-03-26,0.051285162033118024,19
2020-03-27,-0.04228396922577427,2
2020-03-30,0.02813848423741966,15
2020-03-31,-0.0020427862002447414,9
2020-04-01,-0.054051935049017764,0
2020-04-02,0.01654893269129087,12
2020-04-03,-0.01447571278343646,7
2020-04-06,0.08364002655034967,19
2020-04-07,-0.011649761005461043,7
2020-04-08,0.025272303333709372,14
2020-04-09,0.007190517674351894,11
2020-04-13,0.019437280196053005,13
2020-04-14,0.04926925304327293,18
2020-04-15,-0.00916929597115379,8
2020-04-16,0.007914397619328025,11
2020-04-17,-0.013661659379905385,7
2020-04-20,-0.020975012929293196,6
2020-04-21,-0.031398097745767455,4
2020-04-22,0.028396461150456777,15
2020-04-23,-0.003882831155493063,9
2020-04-24,0.028460616468887985,15
2020-04-27,0.000706795337712682,10
2020-04-28,-0.01634237322854274,7
2020-04-29,0.032317196497430756,15
2020-04-30,0.020876608319643133,13
2020-05-01,-0.01623039453833249,7
2020-05-04,0.014049686572218625,12
2020-05-05,0.014897446840586475,12
2020-05-06,0.010264409963161688,11
2020-05-07,0.010291807475346719,11
2020-05-08,0.023522953401576768,14
2020-05-11,0.015612731861224225,12
2020-05-12,-0.011494211225683266,7
2020-05-13,-0.012147461071938398,7
2020-05-14,0.006124719836193154,11
2020-05-15,-0.005929801866605012,8
2020-05-18,0.02328804009178812,14
2020-05-19,-0.00579529108235558,8
2020-05-20,0.01926155013207578,13
2020-05-21,-0.007483265770638324,8
2020-05-22,0.006417440001953275,11
2020-05-26,-0.006796361521985464,8
2020-05-27,0.0043474284152559385,10
2020-05-28,0.0004400947631618099,10
2020-05-29,-0.0009747420068502716,9
2020-06-01,0.012223100700902094,12
2020-06-02,0.004618759515004288,10
2020-06-03,0.005490019312204402,10
2020-06-04,-0.008649480398965338,8
2020-06-05,0.028082947240232418,15
2020-06-08,0.0058947453536418995,11
2020-06-09,0.031089715904111963,15
2020-06-10,0.025402218162344108,14
2020-06-11,-0.04920116119692906,1
2020-06-12,0.008596493732178152,11
2020-06-15,0.012291493637466953,12
2020-06-16,0.026156739089788793,14
2020-06-17,-0.0013924571984257471,9
2020-06-18,0.00039810633576699674,10
2020-06-19,-0.0057311715720675775,8
2020-06-22,0.02582761646246509,14
2020-06-23,0.021120097645857247,13
2020-06-24,-0.017809708524600648,6
2020-06-25,0.013188098145296211,12
2020-06-26,-0.031207508851579902,4
2020-06-29,0.02278524984657254,14
2020-06-30,0.00831258063478837,11
2020-07-01,-0.0018931819578522234,9
2020-07-02,0.0,9
2020-07-06,0.026398762034175214,14
2020-07-07,-0.0031076656073643905,9
2020-07-08,0.023023153751138906,14
2020-07-09,0.004291053193013282,10
2020-07-10,0.0017476617390091962,10
2020-07-13,-0.004623846828338878,9
2020-07-14,0.016413043166971168,12
2020-07-15,0.006853759013142024,11
2020-07-16,-0.012381404436722332,7
2020-07-17,-0.00202209611682509,9
2020-07-20,0.020854749056827212,13
2020-07-21,-0.013897866329935135,7
2020-07-22,0.0028054565625664765,10
2020-07-23,-0.046584942252283185,1
2020-07-24,-0.0024801899566664607,9
2020-07-27,0.023423747894400195,14
2020-07-28,-0.016564168046219154,7
2020-07-29,0.01898717187144018,13
2020-07-30,0.012027566971568121,12
2020-07-31,0.09956349894803068,19
2020-08-03,0.024885385231062544,14
2020-08-04,0.006656058311189891,11
2020-08-05,0.0036179852180843086,10
2020-08-06,0.034294350322410405,16
